report_date,zip,geoid,county,state,last_update,confirmed,confirmed_rate
2020-04-06,63005,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,31,1.7331022530329288
2020-04-06,63011,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,26,0.6764491622437299
2020-04-06,63017,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,48,1.155067860236789
2020-04-06,63021,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,34,0.6046271762132556
2020-04-06,63025,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,7,0.8346250149040181
2020-04-06,63026,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,14,0.6294397985792645
2020-04-06,63031,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,46,0.9700752862776525
2020-04-06,63033,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,58,1.3491195831685703
2020-04-06,63034,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,37,2.069466972425751
2020-04-06,63038,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-06,63040,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-06,63042,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,14,0.7200534896878054
2020-04-06,63043,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,14,0.6215592257147932
2020-04-06,63044,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-06,63049,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-06,63069,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-06,63074,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,11,0.7220690560588158
2020-04-06,63088,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-06,63105,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,11,0.6325474410580794
2020-04-06,63114,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,15,0.42268999915462
2020-04-06,63117,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,8,0.9411764705882353
2020-04-06,63119,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,21,0.6208976405889658
2020-04-06,63120,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-06,63121,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,33,1.3401015228426396
2020-04-06,63122,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,33,0.8530217649795792
2020-04-06,63123,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,28,0.5766775136960909
2020-04-06,63124,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,11,1.015978572088298
2020-04-06,63125,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,21,0.6411822178798241
2020-04-06,63126,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,8,0.541235369731412
2020-04-06,63127,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-06,63128,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,14,0.469436341079033
2020-04-06,63129,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,31,0.577593113599523
2020-04-06,63130,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,33,1.1574480025253413
2020-04-06,63131,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,18,1.0211607193509955
2020-04-06,63132,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,21,1.564012810009682
2020-04-06,63133,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,11,1.5114042319318495
2020-04-06,63134,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,31,2.292051756007394
2020-04-06,63135,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,22,1.0059902144588229
2020-04-06,63136,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,71,1.6304971868182339
2020-04-06,63137,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,32,2.3104693140794224
2020-04-06,63138,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,42,2.2602518566354535
2020-04-06,63140,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-06,63141,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,26,1.2652068126520681
2020-04-06,63143,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-06,63144,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,8,0.9169054441260746
2020-04-06,63146,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,30,0.9941016634634503
2020-04-06,63147,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-06,63304,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-07,63005,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,32,1.7890087773243137
2020-04-07,63011,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,32,0.832552815069206
2020-04-07,63017,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,55,1.3235152565213206
2020-04-07,63021,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,45,0.8002418508704854
2020-04-07,63025,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,11,1.3115535948491712
2020-04-07,63026,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,17,0.7643197554176783
2020-04-07,63031,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,59,1.244226997616989
2020-04-07,63033,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,71,1.6515084552580772
2020-04-07,63034,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,42,2.3491246714022034
2020-04-07,63038,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-07,63040,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-07,63042,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,23,1.182945018772823
2020-04-07,63043,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,17,0.754750488367963
2020-04-07,63044,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,7,0.6643887623386484
2020-04-07,63049,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-07,63069,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
2020-04-07,63074,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,16,1.0502822633582776
2020-04-07,63088,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,7,0.8357211079274117
2020-04-07,63105,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,11,0.6325474410580794
2020-04-07,63114,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,18,0.5072279989855439
2020-04-07,63117,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,11,1.2941176470588236
2020-04-07,63119,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,24,0.7095973035302465
2020-04-07,63120,29189,St. Louis,Missouri,2020-04-08T00:38:52Z,NA,NA
