report_date,new_in_pt,new_in_pt_avg,in_pt,in_pt_avg,icu,icu_avg,vent,vent_avg,discharge,new_discharge
2020-03-28,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,54,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,65,40.142857142857146,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04,49,46,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-05,55,53.142857142857146,468,NA,164,NA,139,NA,NA,NA
2020-04-06,69,56.57142857142857,545,NA,224,NA,172,NA,NA,NA
2020-04-07,62,59.142857142857146,586,NA,239,NA,186,NA,NA,NA
2020-04-08,44,57.714285714285715,586,NA,233,NA,186,NA,NA,NA
2020-04-09,54,56.857142857142854,611,NA,219,NA,173,NA,NA,NA
2020-04-10,37,52.857142857142854,584,NA,205,NA,160,NA,NA,NA
2020-04-11,37,51.142857142857146,592,567.4285714285714,211,213.57142857142858,157,167.57142857142858,NA,NA
2020-04-12,56,51.285714285714285,607,587.2857142857143,211,220.28571428571428,162,170.85714285714286,NA,NA
2020-04-13,45,47.857142857142854,634,600,189,215.28571428571428,160,169.14285714285714,NA,NA
2020-04-14,50,46.142857142857146,702,616.5714285714286,185,207.57142857142858,145,163.28571428571428,NA,NA
2020-04-15,45,46.285714285714285,707,633.8571428571429,175,199.28571428571428,149,158,NA,NA
2020-04-16,49,45.57142857142857,687,644.7142857142857,179,193.57142857142858,155,155.42857142857142,NA,NA
2020-04-17,59,48.714285714285715,684,659,173,189,144,153.14285714285714,NA,NA
2020-04-18,43,49.57142857142857,683,672,176,184,136,150.14285714285714,NA,NA
2020-04-19,53,49.142857142857146,659,679.4285714285714,175,178.85714285714286,139,146.85714285714286,NA,NA
2020-04-20,47,49.42857142857143,757,697,196,179.85714285714286,142,144.28571428571428,NA,NA
2020-04-21,47,49,750,703.8571428571429,187,180.14285714285714,130,142.14285714285714,NA,NA
